file,rec,timestamp,mac,target,event,rssi,ad_hex,name,uuids16,mfg_hex,mfg_company
old/hci_snoop_2018_01_01_12_06_26.cfa,2103,2018-01-01T12:08:19.591Z,f4:db:00:00:02:37,no,ADV_IND,-82,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8F 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 8F 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2110,2018-01-01T12:08:19.917Z,f4:d0:00:00:02:1a,no,ADV_IND,-67,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BF FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 BF FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2126,2018-01-01T12:08:20.763Z,f4:d0:00:00:02:1a,no,ADV_IND,-69,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C0 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C0 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2148,2018-01-01T12:08:22.131Z,f4:db:00:00:02:37,no,ADV_IND,-92,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 91 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 91 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2155,2018-01-01T12:08:22.458Z,f4:d0:00:00:02:1a,no,ADV_IND,-68,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C2 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C2 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2164,2018-01-01T12:08:22.944Z,62:53:00:00:0f:1f,no,ADV_IND,-79,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 E8 B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 E8 B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,2171,2018-01-01T12:08:23.307Z,f4:d0:00:00:02:1a,no,ADV_IND,-70,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C3 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C3 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2213,2018-01-01T12:08:25.484Z,62:53:00:00:0f:1f,no,ADV_IND,-79,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 EA B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 88 0B 45 01 23 05 EA B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,2215,2018-01-01T12:08:25.518Z,f4:db:00:00:02:37,no,ADV_IND,-85,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D8 0B 36 01 C4 04 95 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D8 0B 36 01 C4 04 95 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2222,2018-01-01T12:08:25.846Z,f4:d0:00:00:02:1a,no,ADV_IND,-66,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C5 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C5 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2231,2018-01-01T12:08:26.332Z,62:53:00:00:0f:1f,no,ADV_IND,-80,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 EB B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 EB B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,2242,2018-01-01T12:08:26.693Z,f4:d0:00:00:02:1a,no,ADV_IND,-66,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C6 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C6 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2268,2018-01-01T12:08:28.059Z,f4:db:00:00:02:37,no,ADV_IND,-86,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 97 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 97 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2275,2018-01-01T12:08:28.386Z,f4:d0:00:00:02:1a,no,ADV_IND,-66,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C8 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C8 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2285,2018-01-01T12:08:28.874Z,62:53:00:00:0f:1f,no,ADV_IND,-80,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 EE B3 05 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 87 0B 45 01 23 05 EE B3 05 00,0x0011
old/hci_snoop_2018_01_01_12_06_26.cfa,2288,2018-01-01T12:08:28.907Z,f4:db:00:00:02:37,no,ADV_IND,-88,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 98 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D6 0B 36 01 C4 04 98 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2294,2018-01-01T12:08:29.235Z,f4:d0:00:00:02:1a,no,ADV_IND,-67,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C9 FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E8 0B 4A 01 90 04 C9 FB 03 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2333,2018-01-01T12:08:31.447Z,f4:db:00:00:02:37,no,ADV_IND,-81,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 9B 73 05 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D7 0B 36 01 C4 04 9B 73 05 00,0x001B
old/hci_snoop_2018_01_01_12_06_26.cfa,2355,2018-01-01T12:08:32.621Z,f4:d0:00:00:02:1a,no,ADV_IND,-68,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 E7 0B 4A 01 90 04 CC FB 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 E7 0B 4A 01 90 04 CC FB 03 00,0x001B
